FBA Objective:  Maximize
1.0*BIOMASS_RT_CLIM - 1.0*BIOMASS_RT_CLIM_reverse_12b42
Result:  0.19069533756447
Nonzero fluxes:
Reaction ID: 13GS_c, Flux: 0.19090948842855487
Reaction ID: NGLYCANS7_c, Flux: 0.002956349818261978
Reaction ID: OGLYCANS1_r, Flux: 0.009112948791530892
Reaction ID: ORNCD_m, Flux: 0.03181503803324348
Reaction ID: ACONTa_m, Flux: 0.22734354892828498
Reaction ID: ACONTb_m, Flux: 0.22734354892828498
Reaction ID: CERS2A24_r, Flux: 0.0003852522557146205
Reaction ID: ALATA_L_m, Flux: -0.07365683691562679
Reaction ID: GPIA1_c, Flux: 0.003239723089882781
Reaction ID: GPIA2_c, Flux: 0.003239723089882781
Reaction ID: GPIA3_c_r, Flux: 0.003239723089882781
Reaction ID: GPIA4_r, Flux: 0.003239723089882781
Reaction ID: GPIA5_r, Flux: 0.003239723089882781
Reaction ID: GPIA6_r, Flux: 0.003239723089882781
Reaction ID: GPIA7_r, Flux: 0.003239723089882781
Reaction ID: GPIA8a_r, Flux: 0.003239723089882781
Reaction ID: GPIA9a_r, Flux: 0.003239723089882781
Reaction ID: GPIA10a_r, Flux: 0.003239723089882781
Reaction ID: PCOATA160_c, Flux: 0.01225879218534001
Reaction ID: PCOATA180_c, Flux: 0.03828310008274712
Reaction ID: ACCOAC_c, Flux: 0.4056278174804041
Reaction ID: EAR40y_c, Flux: 0.050541892268087134
Reaction ID: EAR60y_c, Flux: 0.050541892268087134
Reaction ID: MCOATA_c, Flux: 0.39207634595935703
Reaction ID: NADHcplxI_c_m, Flux: 6.355206581208266
Reaction ID: PGMT_c, Flux: 0.24114893789126476
Reaction ID: ATPS_m, Flux: 6.524421839267083
Reaction ID: FECRq9_m, Flux: 6.379171264279993
Reaction ID: FECOOR_m, Flux: 3.1895856321399965
Reaction ID: MDH_c, Flux: -4.899570376678454
Reaction ID: ASPTAi_m, Flux: 4.422824023564368
Reaction ID: C3STKR1_c, Flux: 0.019559811469325252
Reaction ID: C3STKR2_c, Flux: 0.019559811469325252
Reaction ID: CERS124_c, Flux: 0.0003852522557146205
Reaction ID: CERS126_c, Flux: 0.000770504511429241
Reaction ID: PRAIi_c, Flux: 0.00490048878473175
Reaction ID: PRPPS_c, Flux: 0.051169852014685
Reaction ID: FCLT_m, Flux: 1.9069533756447e-05
Reaction ID: MTHFC_c, Flux: 2.1771344519831626
Reaction ID: FTHFL_c, Flux: -2.1471899445160934
Reaction ID: NNATi_c, Flux: 3.813906751315432e-05
Reaction ID: G3PT_c, Flux: 0.04873018198965438
Reaction ID: DKMPPH_c, Flux: 1.9069533756447e-05
Reaction ID: DKMEOX_c, Flux: 1.9069533756447e-05
Reaction ID: DOLDPt_c_l, Flux: 0.002956349818261978
Reaction ID: G13027t_g_r, Flux: -0.009112948791530892
Reaction ID: OGLYCANS2_g, Flux: 0.009112948791530892
Reaction ID: OGLYCANS3_g, Flux: 0.009112948791530892
Reaction ID: OGLYCANS4_g, Flux: 0.009112948791530892
Reaction ID: OGLYCANS5_g, Flux: 0.009112948791530892
Reaction ID: EX_ca2_e, Flux: -0.0002452342041079084
Reaction ID: EX_cu2_e, Flux: -2.173926848234958e-05
Reaction ID: EX_mg2_e, Flux: -0.012129558336463241
Reaction ID: EX_mn2_e, Flux: -1.7925361731060177e-05
Reaction ID: EX_zn2_e, Flux: -0.0003005358520016047
Reaction ID: CA2t_c_e, Flux: 0.0002452342041079084
Reaction ID: CU2t_c_e, Flux: 2.173926848234958e-05
Reaction ID: Kt_c_e, Flux: 0.11511324052079232
Reaction ID: MG2t_c_e, Flux: 0.012129558336463241
Reaction ID: MN2t_c_e, Flux: 1.7925361731060177e-05
Reaction ID: ZN2t_c_e, Flux: 0.0003005358520016047
Reaction ID: G3PAT_rm, Flux: 0.02107802381013343
Reaction ID: G3PAT_l, Flux: 1.335989162072962e-05
Reaction ID: AGPAT_rm, Flux: 0.02107802381013343
Reaction ID: AGPAT_l, Flux: 1.335989162072962e-05
Reaction ID: CDPDAGS_rm, Flux: 0.029446029854680072
Reaction ID: PSSA_rm, Flux: 0.020482204817124594
Reaction ID: PAILS_rm, Flux: 0.008963825037555478
Reaction ID: DGAT_rm, Flux: 0.0024115332388402874
Reaction ID: DAGL_l, Flux: 0.0004939989007406234
Reaction ID: MAGL_l, Flux: 0.0004939989007406243
Reaction ID: DAGK_rm, Flux: 0.008354646152925912
Reaction ID: PSD_mm, Flux: 0.01946541727723084
Reaction ID: PEMT_rm, Flux: 0.007850164266178973
Reaction ID: PMEMT_rm, Flux: 0.007850164266178973
Reaction ID: PDMEMT_rm, Flux: 0.007850164266178973
Reaction ID: IPCS_g, Flux: 0.001541009022858482
Reaction ID: compCER_r, Flux: 0.001541009022858482
Reaction ID: compACYLCOA_l, Flux: 2.6719783241456226e-05
Reaction ID: compACYLCOA_rm, Flux: 0.04456758085910715
Reaction ID: compFALPD_rm, Flux: -0.0002762531160091475
Reaction ID: PAt_l_rm, Flux: 1.335989162072962e-05
Reaction ID: DAGt_c_l, Flux: 0.0004939989007406234
Reaction ID: DAGt_c_rm, Flux: 0.009225170368907718
Reaction ID: DAGt_gm_rm, Flux: 0.001541009022858482
Reaction ID: TAGt_c_rm, Flux: -0.0024115332388402874
Reaction ID: PSt_c_rm, Flux: -0.001016787539893754
Reaction ID: PSt_mm_rm, Flux: -0.01946541727723084
Reaction ID: PAILt_c_rm, Flux: -0.007422816014696995
Reaction ID: PAILt_gm_rm, Flux: -0.001541009022858482
Reaction ID: CERt_g_r, Flux: 0.001541009022858482
Reaction ID: PCt_c_rm, Flux: -0.007850164266178973
Reaction ID: PEt_c_rm, Flux: -0.011615253011051867
Reaction ID: PEt_mm_rm, Flux: 0.01946541727723084
Reaction ID: FRDPt_c_l, Flux: -0.0029563498182619777
Reaction ID: IPDPt_c_l, Flux: -0.044345247273929654
Reaction ID: PEt_c_r, Flux: 0.009719169269648342
Reaction ID: DAGt_c_r, Flux: -0.009719169269648342
Reaction ID: SPMS_c, Flux: 1.9069533756447e-05
Reaction ID: EX_btn_c, Flux: -1.9069533756447e-05
Reaction ID: ACOADS181_rm, Flux: 0.01962444248996299
Reaction ID: LINOCOAt_c_rm, Flux: 1.1181080335870999e-05
Reaction ID: LINOCOAt_c_l, Flux: -1.1181080335870999e-05
Reaction ID: LINOEAt_c_l, Flux: 2.0684345322660285e-05
Reaction ID: FACOAL182_l, Flux: 2.0684345322660285e-05
Reaction ID: FACOAL182_rm, Flux: 9.825328825227743e-05
Reaction ID: ACOADS182_rm, Flux: 0.0038827927798776524
Reaction ID: LINOLNCOAt_c_rm, Flux: -2.340973649350463e-06
Reaction ID: LINOLNCOAt_c_l, Flux: 2.340973649350463e-06
Reaction ID: FACOAL183_rm, Flux: 2.4203087999793428e-05
Reaction ID: BIOMASS_RT_CLIM, Flux: 0.19069533756447
Reaction ID: ATPM_c, Flux: 15.237661992771548
Reaction ID: THMtps_e, Flux: 1.9069533756447e-05
Reaction ID: FALPDt_c_l, Flux: -0.0009879978014812481
Reaction ID: FALPDt_c_rm, Flux: 0.0002762531160091475
Reaction ID: compFALPD_c, Flux: -0.0007117446854721007
Reaction ID: DOCOSAt_c_l, Flux: 5.009959357773045e-07
Reaction ID: DOCOSAt_c_rm, Flux: 5.0257080766813136e-06
Reaction ID: TTCOSAt_c_rm, Flux: -1.3436675309568924e-05
Reaction ID: DM_gcald_c, Flux: 1.9069533756457466e-05
Reaction ID: RNDR4_c, Flux: 0.0013529834200199146
Reaction ID: PKETX_c, Flux: 1.0388751644014615
Reaction ID: ACS_c, Flux: 1.051803164116307
Reaction ID: AKGDH_m, Flux: 0.000152556270051576
Reaction ID: GHMT2r_m, Flux: -1.0776696548834543
